nama_wisata,alamat,kabupaten,provinsi,deskripsi_wisata,sumber_deskripsi
Air Terjun Moramo,"QPHW+M27, Sumber Sari, Kec. Moramo, Kabupaten Konawe Selatan, Sulawesi Tenggara 93891, Indonesia",Kabupaten Konawe Selatan,Sulawesi Tenggara,"Air Terjun Moramo terletak di kawasan Hutan Suaka Alam Tanjung Peropa, Sulawesi Tenggara dan merupakan air terjun bertingkat (cascade) yang indah dengan ketinggian sekitar 100 meter. Dari ketinggian tersebut, air mengalir melewati tujuh tingkatan utama. Di samping 7 tingkatan utama tersebut, terdapat juga 60 tingkatan kecil yang sekaligus berfungsi sebagai tempat penampungan air (semacam kolam air). Dari sekian banyak kolam tersebut, hanya satu yang dapat dimanfaatkan untuk berenang, yaitu kolam yang terletak di tingkat kedua dari 7 tingkatan utama air terjun tersebut. [ 1 ]",https://id.wikipedia.org/wiki/Air_Terjun_Moramo
Pantai Marina Bantaeng,"Pantai Marina Bantaeng, Baruga, Kec. Pajukukang, Kabupaten Bantaeng, Sulawesi Selatan 92561, Indonesia",Kabupaten Bantaeng,Sulawesi Selatan,"Pantai Marina Bantaeng merupakan salah satu tempat wisata yang terletak di Kabupaten Bantaeng, Sulawesi Selatan (Sulsel). Destinasi wisata ini terkenal dengan keindahan pantainya yang asri dan alami.",https://www.detik.com/sulsel/wisata/d-6752789/pesona-pantai-marina-bantaeng-dengan-panorama-sunset-yang-memanjakan-mata
Taman Kota Tomohon,"8RGR+7MW, Paslaten Satu, Kec. Tomohon Tim., Kota Tomohon, Sulawesi Utara, Indonesia",Kota Tomohon,Sulawesi Utara,"Kota Tomohon merupakan kota di Provinsi Sulawesi Utara yang dulunya merupakan kecamatan di kabupaten Minahasa. Sekarang, kota ini menjelma sebagai kota yang cantik dan mempunyai berbagai destinasi wisata yang terus dikembangkan. Pusat industri di kota Tomohon juga sangat populer, kota ini terkenal akan industri rumah panggungnya.",https://tomohon.go.id/objek-wisata/
Masjid Tua Al-Hilal Katangka,"Jl. Syech Yusuf No.57, Katangka, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92114, Indonesia",Kabupaten Gowa,Sulawesi Selatan,"Al-Hilal Mosque or Al Hilal Old Mosque of Katangka , better known as Katangka Mosque , is a historical mosque in South Sulawesi , Indonesia . Constructed in 1603 by the first Muslim ruler of the Sultanate of Gowa , Sultan Alauddin, the mosque is considered the oldest mosque in South Sulawesi.",https://en.wikipedia.org/wiki/Katangka_Mosque
Benteng Balangnipa,"Jl. Sungai Tangka, Balangnipa, Kec. Sinjai Utara, Kabupaten Sinjai, Sulawesi Selatan 92614, Indonesia",Kabupaten Sinjai,Sulawesi Selatan,"Balangnipa adalah sebuah kelurahan di wilayah Kecamatan Sinjai Utara , Kabupaten Sinjai , Provinsi Sulawesi Selatan . Di Kelurahan Balangnipa terdapat sebuah benteng bernama Benteng Balangnipa .","https://id.wikipedia.org/wiki/Balangnipa,_Sinjai_Utara,_Sinjai"
Bukit Samata,"QFXW+MV5 Uin samata, Samata, Makassar, Kabupaten Gowa, Sulawesi Selatan 92113, Indonesia",Kabupaten Gowa,Sulawesi Selatan,"Bukit Samata terletak di Jalan Syahrul Yasin Limpo, Kabupaten Gowa....Versi 1.6 (16-10-2025). Perbaikan Bug Informasi Cuaca. Pembaruan Menu Jumlah Penduduk Kabupaten Gowa.",https://smartcity.gowakab.go.id/wisata_buatan
Rumah Hijau Denassa,"Jl. Borongtala No.58 A, Tamallayang, Kec. Bontonompo, Kabupaten Gowa, Sulawesi Selatan 92153, Indonesia",Kabupaten Gowa,Sulawesi Selatan,"RHD telah menjadi salah satu tujuan ekowisata di Sulawesi Selatan, yang banyak dikunjungi siswa taman kanak-kanak (TK) hingga mahasiswa, komunitas, pemerintah, swasta, bahkan tamu dari puluhan negara sahabat untuk belajar lingkungan hidup, pangan lokal, budaya, tradisi, wisata berkelanjutan, dan literasi. Dengan kian tingginya minat berbagai pihak belajar dan peduli pada lingkungan hidup dan wisata berkelanjutan, [ 4 ] serta telah rapatnya tapak dan tajuk tanaman di RHD, Denassa kemudian mendirikan area konservasi baru penyelamatan keanekaragaman hayati yang dikenal dengan nama Kebun Denassa...",https://id.wikipedia.org/wiki/Rumah_Hijau_Denassa
Pantai Pulisan Sulawesi Utara,"Pantai Pulisan Sulawesi Utara, Pulisan, Kec. Likupang Tim., Kabupaten Minahasa Utara, Sulawesi Utara, Indonesia",Kabupaten Minahasa Utara,Sulawesi Utara,Berlarian disepanjang bukit di Pulau Padar Labuan Bajo adalah salah satu bucketlist saya. Menikmati keindahan bukit dan pantai merupakan sensasi keindahan yang begitu menyegarkan mata dan pikiran. Saat ini saya hanya bisa membayangkan bagaimana nikmatnya melihat sunrise di Pulau Padar sambil mendengarkan desiran ombaknya. Biaya wisata ke Labuan Bajo bagi saya yang tinggal di Sulawesi Utara tentunya harus dipersiapkan dengan matang berhubung saya juga saya masih belum memiliki penghasilan tetap karena masih berstatus mahasiwa sehingga saat ini saya masih belum memiliki kesempatan untuk...,https://www.kompasiana.com/vanomengko/59245605f59273f97d794b8f/menjelajahi-bukit-pulisan-wisata-bukit-pantai-di-sulawesi-utara
Planet Waterboom,"Limba U Dua, Kota Sel., Kota Gorontalo, Gorontalo 96138, Indonesia",Kota Gorontalo,Gorontalo,"Planet Waterboom adalah Satu lagi objek taman hiburan dan pemandian dengan berbagai macam wahana pemandian hadir di Kota Gorontalo. tempat ini menawarkan wahana pemandian yang dapat memberikan kepuasaan kepada anda dan keluarga. Wahana pemandian yang terdapat di planet waterboom antara lain: choppy water pool , jetted tub , pond water falls , waterfall dan water pool launcher . objek pemandian dan bermain ini berada di kawasan Gorontalo Business Center jalan Jenderal Sudirman Kota Gorontalo.",https://dpmptsp.gorontalokota.go.id/page/objek-wisata-kota-gorontalo
Pantai Labombo,"X6X8+C5F, Salekoe, Kec. Wara Tim., Kota Palopo, Sulawesi Selatan 91921, Indonesia",Kota Palopo,Sulawesi Selatan,"Pantai Labombo bukan sekadar garis pantai yang membatasi daratan Kota Palopo dengan Teluk Bone. Bagi masyarakat Sulawesi Selatan, khususnya di kawasan Luwu Raya, destinasi ini adalah ruang memori, pusat hiburan keluarga, dan simbol transformasi pariwisata lokal yang dinamis. Terletak di Kelurahan Salekoe, Kecamatan Wara Timur, Pantai Labombo menawarkan perpaduan unik antara keindahan alam pesisir dengan fasilitas rekreasi modern yang terintegrasi.",https://www.geokepo.id/id/lokasi/palopo/pantai-labombo
Anjungan Cempae,"Watang Soreang, Kec. Soreang, Kota Parepare, Sulawesi Selatan 91132, Indonesia",Kota Parepare,Sulawesi Selatan,"Jalur laut, terdapat 4 pelabuhan di Parepare, yakni Pelabuhan Nusantara, Pelabuhan Cappa Ujung, Pelabuhan Lontange, dan Pelabuhan Cempae. [ 23 ]",https://id.wikipedia.org/wiki/Kota_Parepare
Air Terjun Salodik,"Jl. Trans Sulawesi, Salodik, Luwuk, Kabupaten Banggai, Sulawesi Tengah 94716, Indonesia",Kabupaten Banggai,Sulawesi Tengah,"Air Terjun Salodik yang bertingkattingkat ditengah-tengah belantara terasa sangat sejuk. Sungainya yang berwarna jernih, hijau kebauabuan membuat Anda ingin berenang dan berendam berlamalama di dalamnya. Air Terjun Salodik jatuh mengalir secara bersusun dan tidak ada habisnya bahkan saat kemarau pun air di kawasan ini tidak pernah mengering.",https://pariwisata.sultengprov.go.id/data-pariwisata/daya-tarik-wisata/dtw-kabupaten-banggai/101-ow-alam-salodik.html
Pantai Jiko / Patokan,"JH98+967, Nuangan, Kec. Nuangan, Kabupaten Bolaang Mongondow Timur, Sulawesi Utara, Indonesia",Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,"INTANANEWS.COM – Pantai Tanjung Silar atau yang lebih di ketahui dengan sebutan Pantai Patokan Jiko adalah salah satu pantai terpopuler yang berada di Desa Jiko, Kecamatan Nuangan, Kabupaten Bolaang Mongondow Timur (Boltim) yang tepatnya berada di Provinsi Sulawesi Utara.",https://intananews.com/berita/pantai-patokan-harta-karun-sulawesi-utara-yang-berkilau/index.html
Permandian Malotong,"Jl. Sam Ratulangi No.45, Malotong, Kec. Ampana Kota, Kabupaten Tojo Una-Una, Sulawesi Tengah 94683, Indonesia",Kabupaten Tojo Una-Una,Sulawesi Tengah,"Nuansa alam yang sangat kental Dari pemandangannya, wisata permandian ini terlihat sangat asri dan terjaga kebersihan serta nuansa naturalnya. Mata pengunjung akan dimanjakan dengan pemandangan hijau, asri dan sejuk.",https://sulsel.idntimes.com/travel/destination/5-fakta-permandian-malotong-di-ampana-sulawesi-tengah-01-n53qs-hx948x
Pinrang Waterboom,"Jl. Basuki Rahmat, Macorawalie, Kec. Watang Sawitto, Kabupaten Pinrang, Sulawesi Selatan 91212, Indonesia",Kabupaten Pinrang,Sulawesi Selatan,"Kabupaten Pinrang ( Bugis : ᨓᨊᨘᨓ ᨄᨙᨋ ) adalah salah satu kabupaten yang berada di Provinsi Sulawesi Selatan , Indonesia . Ibu kotanya adalah Kecamatan Watang Sawitto . Kabupaten ini terletak 185 km dari Kota Makassar arah utara yang berbatasan dengan kabupaten Polewali Mandar , provinsi Sulawesi Barat . Pada semester pertama tahun 2025 , jumlah penduduk Kabupaten Pinrang sebanyak 425.640 jiwa, dengan kepadatan 210 jiwa/km 2 . [ 4 ] [ 5 ]",https://id.wikipedia.org/wiki/Kabupaten_Pinrang
Pantai Laguna,"GH4V+XJ2, Pao-Pao, Kec. Tanete Rilau, Kabupaten Barru, Sulawesi Selatan 90761, Indonesia",Kabupaten Barru,Sulawesi Selatan,"Pantai Laguna merupakan salaha satu objek wisata bahari di Kabupaten Barru, Sulawesi Selatan. Destinasi ini memiliki hamparan pasir landai dengan banyak pepohonan dan udara yang segar. Terdapat banyak gazebo yang tersedia sebagai tempat bagi wisatawan untuk bersantai di pesisirnya.",https://travelspromo.com/htm-wisata/pantai-laguna-barru/
Hutan Kota Bulukumba,"C5RX+V8X, Terang-Terang",Kabupaten Bulukumba,Sulawesi Selatan,Bulukumba memiliki berbagai wisata alam pantai yang begitu memukau. Disana juga terdapat berbagai wisata lainnya yang menarik para...,https://www.bulukumbakab.go.id/
Goa Air Kontamale,"Jl. Poros Wandoka Lingk. Teekosapi, MGJM+QW2, Pongo, Kec. Wangi-Wangi, Kabupaten Wakatobi, Sulawesi Tenggara 93791, Indonesia",Kabupaten Wakatobi,Sulawesi Tenggara,"Pulau Hoga - (Instagram itdp.p3tb) Pulau Hoga merupakan wisata alam Wakatobi yang diklaim sebagai tempat selam terbaik. Kenapa begitu? sebab pulau ini memiliki berbagai macam karang-karang yang masih alami dan ikan yang cantik. Selain itu, airnya sangat jernih. Makin menambah takjubnya anda setelah mengunjungi pulau ini. Wisata alam Wakatobi ini menyediakan fasilitas seperti diving, snorkeling, resort atau penginapan, bersantai di tepi pantai dan masih banyak lagi. Bukan hanya itu saja, disini juga tersedia resort bagi anda yang ingin bermalam di Pulau Hoga. Alamat: Ambeua Raya, Kec....",https://www.jawapos.com/travelling/01431278/5-tempat-wisata-alam-wakatobi-ideal-untuk-kegiatan-diving&quot
Pantai Bonebula,"Unnamed Road, Towale, Banawa Tengah, Donggala Regency, Central Sulawesi 94351, Indonesia",Kabupaten Donggala,Sulawesi Tengah,Donggala merupakan salah satu kabupaten di Sulawesi Tengah yang memiliki keindahan alam memukau. Berbagai destinasi wisata alam seperti pantai dan danau bisa kamu temui saat berkunjung ke Donggala. Salah satu wisata alam yang bisa kamu datangi saat sedang berada di Donggala adalah Pantai Bonebula . Pemandangan biru laut yang memukau dan hamparan pasir putih yang ada di sini pastinya bisa menyegarkan mata dan pikiranmu.,https://www.idntimes.com/travel/destination/sanggar-sukma/pantai-bonebula-donggala-c1c2
Pantai Bambahano,"Malonas, 6R9X+9X8, Damsol, Kabupaten Donggala, Sulawesi Tengah 94356, Indonesia",Kabupaten Donggala,Sulawesi Tengah,Pantai Bambahano. Invalid Date. Ditulis oleh.Pantai Bambarano berlokasi di Desa Sabang Kecamatan Dampelas Kabupaten Donggala. Berjarak 150 Km dari kota Palu dengan akses jalan beraspal.,https://sabang.digitaldesa.id/wisata/pantai-bambahano
Wisata Kali Biru,"FRPR+4M4, Jl. Pangeran Limboro, Banabungi, Kec. Ps. Wajo, Kabupaten Buton, Sulawesi Tenggara 93754, Indonesia",Kabupaten Buton,Sulawesi Tenggara,"Jika Anda berkunjung di kabupaten Buton, maka Anda sangat disarankan untuk menuju tempat wisatanya yang sudah menjadi ikon kota ini yaitu Kali Biru. Tempat wisata ini berlokasi di Desa Banabungi, Kecamatan Pasarwojo, Buton, Sulawesi Tenggara.",https://limakaki.com/ikon-wisata-buton.html
Wisata Mangrove Lantebung,"Jl. Lantebung, Bira, Kec. Tamalanrea, Kota Makassar, Sulawesi Selatan 90243, Indonesia",Kota Makassar,Sulawesi Selatan,"KOMPAS.com - Di pesisir Selat Makassar, tepatnya di Desa Wisata Lantebung, Kelurahan Wira, Kecamatan Tamalanrea, terdapat sebuah destinasi yang menawarkan keindahan alam sekaligus fungsi ekologis penting, yaitu Wisata Mangrove Lantebung.",https://www.kompas.com/microsite/read/2025/09/15/123646072/wisata-mangrove-lantebung-surga-hijau-tepi-laut-di-makassar
Anjungan Pantai Losari,"Losari Kec. Ujung Pandang, VC44+GX6, Panambungan, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90113, Indonesia",Kota Makassar,Sulawesi Selatan,"Pantai Losari adalah sebuah pantai yang terletak di sebelah barat Kota Makassar , Provinsi Sulawesi Selatan , Indonesia . Pantai ini menjadi tempat bagi warga Makassar untuk menghabiskan waktu pada pagi, sore, dan malam hari menikmati pemandangan matahari tenggelam yang sangat indah. [ 1 ] Jarak Pantai Losari dari Bandar Udara Internasional Sultan Hasanuddin kurang lebih 20 kilometer memakan waktu sekitar 30 menit jika melalui Jalan Tol Insinyur Sutami.",https://id.wikipedia.org/wiki/Pantai_Losari
Kai'santi Garden,"Jl. Woloan Kayawu, Woloan Dua, Kec. Tomohon Bar., Kota Tomohon, Sulawesi Utara, Indonesia",Kota Tomohon,Sulawesi Utara,"Kai’santi Flower Garden Web Address: Jl. Woloan Kayawu, Woloan Dua, Tomohon Barat, Tomohon City, North Sulawesi, Indonesia Phone: +6281340739777",https://dispar.tomohon.go.id/kaisanti-garden-tomohon/
Benteng Moraya,"7WR5+795, Tuutu, Kec. Tondano Bar., Kabupaten Minahasa, Sulawesi Utara, Indonesia",Kabupaten Minahasa,Sulawesi Utara,"Lokasi Benteng Moraya berada di Tuutu, Tondano Barat, Kabupaten Minahasa, Sulawesi Utara. Akses menuju Benteng Moraya terbilang cukup mudah.",https://www.msn.com/id-id/travel/ideperjalanan/benteng-moraya-tempat-wisata-bersejarah-di-tondano-barat-minahasa-sulawesi-utara/ar-AA1w05wR
Museum Ne' Gandeng,"3WCX+59J Malakiri, Tagari, Kec. Balusu, Kabupaten Toraja Utara, Sulawesi Selatan 91853, Indonesia",Kabupaten Toraja Utara,Sulawesi Selatan,"Museum Ne' Gandeng atau Museum Rambu Solo Ne Gandeng [ 1 ] adalah museum yang terletak di Lembang Palangi, Kecamatan Balusu , Kabupaten Toraja Utara , Provinsi Sulawesi Selatan . [ 2 ] Nama Museum Ne' Gandeng berasal dari nama salah satu tokoh masyarakat Toraja yang bernama Ne' Gandeng. [ 3 ] Museum Ne' Gandeng terdiri dari beberapa bangunan yang menerapkan gaya arsitektur Tongkonan . [ 4 ] Koleksi Museum Ne' Gandeng berupa batu menhir , patung Ne’ Gandeng, patung kerbau , dan gong belang. [ 3 ] Selain koleksi benda-benda bersejarah, Museum Ne' Gandeng juga memiliki pondok -pondok yang...",https://id.wikipedia.org/wiki/Museum_Ne'_Gandeng
Bendung Benteng,"8M6G+RPF, Sungai Sadang, Benteng, Kec. Patampanua, Kabupaten Pinrang, Sulawesi Selatan 91252, Indonesia",Kabupaten Pinrang,Sulawesi Selatan,"Kunjungan yang berlangsung di ruang kerja Bupati tersebut membahas secara khusus kondisi terkini Bendung Benteng, salah satu infrastruktur vital yang menjadi tumpuan irigasi ribuan hektare lahan pertanian di Kabupaten Pinrang dan sekitarnya.",https://arusinfo.id/bupati-pinrang-sambut-pejabat-kementerian-pupr-bahas-perbaikan-bendung-benteng/
Monumen Korban 40.000 Jiwa,"Jalan Korban 40000 Jiwa, Wala-Walaya, La'latang, Kec. Tallo, Kota Makassar, Sulawesi Selatan 90214, Indonesia",Kota Makassar,Sulawesi Selatan,"Tempat wisata horor di Makassar yang satu ini biasa juga disebut Monumen Korban 40.000 Jiwa. Bangunan yang terletak di Jalan Korban 40.000 Jiwa, Kecamatan Tallo ini dibangun untuk memperingati kematian korban pembantaian sebanyak 40.000 jiwa pada masa silam.",https://www.detik.com/sulsel/wisata/d-6183793/4-rekomendasi-wisata-horor-di-makassar-cocok-untuk-uji-nyali
Maros Highland,"Dusun Salu, Pattontongan, Kabupaten Maros",Kabupaten Maros,Sulawesi Selatan,"Maros Highland adalah sebuah taman hiburan yang terletak di Dusun Salu, Desa Pattontongan , Kecamatan Mandai , Kabupaten Maros (30 km dari Makassar ), Sulawesi Selatan , Indonesia yang diresmikan dan dibuka untuk umum pada tanggal 25 Februari 2023. Maros Highland merupakan salah satu destinasi wisata yang cukup unik karena menggabungkan antara keindahan alam dengan fasilitas modern. [ 2 ] Objek wisata yang memadukan pemandangan alam perbukitan dengan sejumlah wahana permainan dan spot berswafoto tersebut menjadi destinasi wisata baru yang menarik dengan jumlah kunjungan mencapai 500 wisatawan...",https://id.wikipedia.org/wiki/Maros_Highland
Air Terjun Pialaa,"3Q2C+22W, Hanga-Hanga, Luwuk, Kabupaten Banggai, Sulawesi Tengah 94713, Indonesia",Kabupaten Banggai,Sulawesi Tengah,-,-
Narwastu Hills Resort,"Jl. Wawo, Matani III, Kec. Tomohon Tengah, Kota Tomohon, Sulawesi Utara 95441, Indonesia",Kota Tomohon,Sulawesi Utara,"Narwastu Hills hadir sebagai jawaban untuk Anda yang ingin berwisata di kawasan Tomohon Sulawesi Utara. Khususnya bagi para kaum muda yang suka nongkrong, tempat ini cocok untuk Anda karena dilengkapi dengan spot foto yang instagrammable.",https://pesonakota.com/narwastu-hills/
"Pantai Bara, Bulukumba","Bira, Kec. Bonto Bahari, Kabupaten Bulukumba, Sulawesi Selatan, Indonesia",Kabupaten Bulukumba,Sulawesi Selatan,"Pantai Bara adalah salah satu destinasi bahari menawan yang terletak di Desa Bira, Kecamatan Bonto Bahari, Kabupaten Bulukumba . Pantai ini dikenal dengan garis pantainya yang bersih, hamparan pasir putih yang lembut, serta air laut yang jernih berwarna kebiruan. Lingkungannya masih alami dan relatif tenang, sehingga cocok bagi pengunjung yang ingin menikmati suasana santai jauh dari keramaian. Pemandangan tebing karang dan pepohonan di sekitar pantai menjadi daya tarik visual tersendiri, menjadikan Pantai Bara sebagai tempat ideal untuk berfoto, bersantai, maupun menikmati matahari terbenam.",https://disparpora.bulukumbakab.go.id/portofolio/pantai-bara/
Pusat Laut Donggala,"Pusat Laut Donggala, Towale, Kec. Banawa Tengah, Kabupaten Donggala, Sulawesi Tengah 94351, Indonesia",Kabupaten Donggala,Sulawesi Tengah,"KOMPAS.com - Pusat Laut Donggala terletak di pesisir pantai Desa Towale, Kecamatan Banawa, Kabupaten Donggala, Provinsi Sulawesi Tengah.",https://makassar.kompas.com/read/2023/10/14/161332078/pusat-laut-donggala-daya-tarik-aktivitas-dan-rute
Pulau Sangihe,"Pulau Sangihe, Kabupaten Kepulauan Sangihe, Sulawesi Utara, Indonesia",Kabupaten Kepulauan Sangihe,Sulawesi Utara,"Membayangkan liburan di surga tersembunyi dengan pantai pasir putih, air laut biru kehijauan, dan budaya unik yang memikat? Kabupaten Kepulauan Sangihe di Sulawesi Utara siap menjadi jawabannya! Namun, dengan begitu banyak destinasi menarik, memilih tempat wisata yang tepat bisa sedikit membingungkan. Artikel ini hadir untuk membantu Anda menemukan rekomendasi wisata terbaik di Kabupaten Kepulauan Sangihe berdasarkan riset dan perbandingan objektif.",https://merahmaron.com/wisata/sangihe-surga-tersembunyi-di-sulawesi-utara-wajib-dikunjungi/
Wisata Hutan Pinus Dan Pemandian Air Panas,"7RMF+J7C, Jalan Lahendong, Lahendong, Kec. Tomohon Sel., Kota Tomohon, Sulawesi Utara, Indonesia",Kota Tomohon,Sulawesi Utara,"TRIBUNMANADO.CO.ID - Bagi pecinta alam dan penggemar destinasi wisata alam yang eksotis, Hutan Pinus di Lahendong Tomohon , Sulawesi Utara , bisa jadi pilihan.",https://manado.tribunnews.com/2023/11/08/potret-wisata-hutan-pinus-lahendong-dan-pemandian-air-panas-di-tomohon-sulawesi-utara
